Day,Susceptible,Infected,Recovered
1,998.5005,1.3995,0.1
2,997.801799275125,1.9582507248749998,0.23995
3,996.8248262267689,2.739398700743546,0.4357750724875
4,995.4594759098517,3.8308091475864523,0.7097149425618546
5,993.5527682766682,5.354435866011345,1.0927958573204999
6,990.8928109880504,7.478949568027936,1.6282394439216343
7,987.1873923076998,10.436473291575675,2.376134400724428
8,982.0360148809001,14.544203389217882,3.4197817298819952
9,974.8945491129177,20.231248818278498,4.8742020688037835
10,965.0328820155743,28.06979103379408,6.8973269506316335
11,951.4887463461157,38.80694759987328,9.704306054011042
12,933.0265593854543,53.38843980054737,13.58500081399837
13,908.1201432364232,72.95601196952371,18.923844794053107
14,874.9937312165622,98.78682279243237,26.21944599100548
15,831.7748058814723,132.127065848279,36.098128270248715
16,776.8248236076519,173.86434153727146,49.310834855076614
17,709.2937553844762,224.00897560672004,66.69726900880376
18,629.8496716105162,281.052161820008,89.09816656947577
19,541.3393656966374,341.45725155188603,117.20338275147657
20,448.9172397128298,399.733652380505,151.34910790666518
21,359.19357578933773,449.4839510659466,191.32247314471567
22,278.4677019676892,485.26142978100046,236.27086825131033
23,210.90288436535403,504.3001044052356,284.7970112294104
24,157.72371106294736,507.0492672671187,335.22702166993395
25,117.73686500038826,496.331186602966,385.9319483966458
26,88.5186260441103,475.9163068989474,435.5650670569424
27,67.45489724476933,449.38840500839365,483.15669774683715
28,52.29817290335334,419.6062888489703,528.0955382476765
29,41.3258517805744,388.6179810868522,570.0561671325735
30,33.29586723774374,357.78616752099765,608.9179652412587
31,27.339466871103603,327.963951135538,644.6965819933584
32,22.856287082610464,299.6507358104774,677.4929771069122
33,19.431835461510595,273.1101138505295,707.4580506879599
34,16.77832006390164,248.4526178630855,734.769062073013
35,14.69401129229109,225.6916648483875,759.6143238593215
36,13.035853356361999,204.78065629947784,782.1834903441603
37,11.701108053492218,185.63733597239982,802.6615559741081
38,10.615026790004475,168.1596836386476,821.2252895713481
39,9.722517016593013,152.2362250481943,838.0412579352128
40,8.982457372306536,137.75266218766137,853.2648804400322
41,8.36377866429533,124.59607467690644,867.0401466587983
42,7.8427316687765005,112.65751420473462,879.4997541264889
43,7.400960341586945,101.83353411145072,890.7655055469625
44,7.024127367885701,92.02701367400688,900.9488589581075
45,6.700922635219509,83.14751703927239,910.1515603255082
46,6.422340095724129,75.11134787484052,918.4663120294354
47,6.181144785173894,67.8414083979067,925.9774468169194
48,5.971476001305107,61.266936341984824,932.76158765671
49,5.788548981285282,55.32316972780617,938.8882812909085
50,5.6284285424005995,49.95097319391023,944.420598263689
51,5.487855800777954,45.096448616141856,949.41569558308
52,5.364114397211664,40.710545158093964,953.9253404446943
53,5.25492638651123,36.74867865298501,957.9963949605036
54,5.158370585949734,33.170366588248,961.6712628258022
55,5.07281806428274,29.938882451090198,964.988299484627
56,4.996880812421576,27.02093145784234,967.982187729736
57,4.929370625453851,24.386348499025836,970.6842808755202
58,4.869265950477262,22.00781832409984,973.1229157254228
59,4.815684990272347,19.860617451894772,975.3236975578328
60,4.7678637515920315,17.922376945385608,977.3097593030222
61,4.725138025901895,16.172864976537184,979.1019969975608
62,4.686928516257689,14.593787988527673,980.7192834952145
63,4.6527284957158646,13.16860921021673,982.1786622940673
64,4.622093514055203,11.882383270855717,983.495523215089
65,4.594632770731333,10.721605687094016,984.6837615421746
66,4.570001850308942,9.674076038807005,985.755922110884
67,4.547896577610254,8.728773707624994,986.7233297147646
68,4.528047797574432,7.875745116898314,987.5962070855271
69,4.510216922409017,7.106001480373898,988.383781597217
70,4.494192118345294,6.411426136400231,989.0943817452544
71,4.479785027940513,5.78469061316499,989.7355243588944
72,4.4668279427404505,5.219178637048554,990.3139934202109
73,4.4551713562533894,4.708917359830759,990.8359112839157
74,4.444681839383148,4.248515140717925,991.3068030198988
75,4.435240190338002,3.8331052756912785,991.7316545339705
76,4.42673981905173,3.458295119408422,992.1149650615397
77,4.419085332696171,3.120120093823138,992.4607945734805
78,4.412191294224739,2.8150021229122566,992.7728065828628
79,4.40598113029477,2.539712074551,993.054306795154
80,4.400386168556343,2.291335828834326,993.3082780026092
81,4.395344787311983,2.0672436271952535,993.5374115854926
82,4.390801663061535,1.8650623887261761,993.7441359482121
83,4.386707103542469,1.6826507093726248,993.9306421870848
84,4.383016455632676,1.5180762863451553,994.0989072580221
85,4.379689578960698,1.369595534382618,994.2507148866566
86,4.376690377316034,1.2356351825890197,994.3876744400949
87,4.373986381009279,1.114775660636873,994.5112379583538
88,4.3715483742305254,1.0057361013519388,994.6227155244176
89,4.36935006222114,0.9073608032261298,994.7232891345527
