Day,Susceptible,Infected,Recovered
1,999,1,0
2,997,3,0
3,989,10,1
4,958,41,1
5,875,119,6
6,714,268,18
7,497,459,44
8,351,559,90
9,239,622,139
10,170,631,199
11,126,613,261
12,88,594,318
13,69,556,375
14,47,526,427
15,26,489,485
16,20,447,533
17,13,425,562
18,9,385,606
19,5,344,651
20,3,314,683
21,3,293,704
22,3,266,731
23,2,243,755
24,2,215,783
25,2,188,810
26,2,166,832
27,2,144,854
28,1,129,870
29,1,117,882
30,1,102,897
31,1,89,910
32,1,81,918
33,1,75,924
34,1,65,934
35,1,61,938
36,1,55,944
37,1,45,954
38,1,37,962
39,1,29,970
40,1,26,973
41,1,25,974
42,1,22,977
43,1,20,979
44,1,16,983
45,1,14,985
46,1,14,985
47,1,14,985
48,1,13,986
49,1,13,986
50,1,12,987
51,1,11,988
52,1,10,989
53,1,8,991
54,1,7,992
55,1,7,992
56,1,7,992
57,1,7,992
58,1,6,993
59,1,5,994
60,1,5,994
61,1,5,994
62,1,5,994
63,1,4,995
64,1,4,995
65,1,3,996
66,1,3,996
67,1,2,997
68,1,2,997
69,1,2,997
70,1,2,997
71,1,2,997
72,1,2,997
73,1,2,997
74,1,0,999
75,1,0,999
76,1,0,999
77,1,0,999
78,1,0,999
79,1,0,999
80,1,0,999
81,1,0,999
82,1,0,999
83,1,0,999
84,1,0,999
85,1,0,999
86,1,0,999
87,1,0,999
88,1,0,999
89,1,0,999
90,1,0,999
91,1,0,999
92,1,0,999
93,1,0,999
94,1,0,999
95,1,0,999
96,1,0,999
97,1,0,999
98,1,0,999
99,1,0,999
100,1,0,999
