Day,Susceptible,Infected,Recovered
1,999,1,0
2,997,3,0
3,989,11,0
4,959,40,1
5,862,131,7
6,676,304,20
7,497,449,54
8,370,530,100
9,270,591,139
10,197,597,206
11,137,601,262
12,101,567,332
13,72,546,382
14,54,508,438
15,39,473,488
16,27,442,531
17,19,394,587
18,15,356,629
19,11,333,656
20,6,302,692
21,2,277,721
22,1,261,738
23,0,229,771
24,0,210,790
25,0,189,811
26,0,170,830
27,0,149,851
28,0,126,874
29,0,115,885
30,0,104,896
31,0,95,905
32,0,89,911
33,0,81,919
34,0,69,931
35,0,59,941
36,0,52,948
37,0,49,951
38,0,45,955
39,0,44,956
40,0,36,964
41,0,31,969
42,0,29,971
43,0,28,972
44,0,27,973
45,0,22,978
46,0,18,982
47,0,15,985
48,0,14,986
49,0,12,988
50,0,11,989
51,0,10,990
52,0,10,990
53,0,10,990
54,0,10,990
55,0,10,990
56,0,8,992
57,0,8,992
58,0,7,993
59,0,6,994
60,0,6,994
61,0,6,994
62,0,4,996
63,0,3,997
64,0,3,997
65,0,2,998
66,0,2,998
67,0,1,999
68,0,1,999
69,0,0,1000
70,0,0,1000
71,0,0,1000
72,0,0,1000
73,0,0,1000
74,0,0,1000
75,0,0,1000
76,0,0,1000
77,0,0,1000
78,0,0,1000
79,0,0,1000
80,0,0,1000
81,0,0,1000
82,0,0,1000
83,0,0,1000
84,0,0,1000
85,0,0,1000
86,0,0,1000
87,0,0,1000
88,0,0,1000
89,0,0,1000
90,0,0,1000
91,0,0,1000
92,0,0,1000
93,0,0,1000
94,0,0,1000
95,0,0,1000
96,0,0,1000
97,0,0,1000
98,0,0,1000
99,0,0,1000
100,0,0,1000
