Day,Susceptible,Infected,Recovered
1,999,1,0
2,941,59,0
3,646,343,11
4,446,507,47
5,331,575,94
6,228,624,148
7,157,621,222
8,110,604,286
9,72,586,342
10,52,555,393
11,32,526,442
12,24,492,484
13,18,453,529
14,12,410,578
15,7,376,617
16,6,334,660
17,4,304,692
18,3,272,725
19,0,251,749
20,0,223,777
21,0,210,790
22,0,179,821
23,0,163,837
24,0,146,854
25,0,137,863
26,0,118,882
27,0,112,888
28,0,103,897
29,0,89,911
30,0,84,916
31,0,75,925
32,0,68,932
33,0,57,943
34,0,55,945
35,0,50,950
36,0,48,952
37,0,46,954
38,0,40,960
39,0,36,964
40,0,33,967
41,0,30,970
42,0,28,972
43,0,26,974
44,0,24,976
45,0,23,977
46,0,22,978
47,0,18,982
48,0,15,985
49,0,13,987
50,0,10,990
51,0,8,992
52,0,7,993
53,0,6,994
54,0,6,994
55,0,5,995
56,0,5,995
57,0,5,995
58,0,5,995
59,0,5,995
60,0,5,995
61,0,4,996
62,0,4,996
63,0,3,997
64,0,3,997
65,0,2,998
66,0,2,998
67,0,2,998
68,0,1,999
69,0,1,999
70,0,1,999
71,0,1,999
72,0,1,999
73,0,1,999
74,0,1,999
75,0,1,999
76,0,1,999
77,0,1,999
78,0,1,999
79,0,0,1000
80,0,0,1000
81,0,0,1000
82,0,0,1000
83,0,0,1000
84,0,0,1000
85,0,0,1000
86,0,0,1000
87,0,0,1000
88,0,0,1000
89,0,0,1000
90,0,0,1000
91,0,0,1000
92,0,0,1000
93,0,0,1000
94,0,0,1000
95,0,0,1000
96,0,0,1000
97,0,0,1000
98,0,0,1000
99,0,0,1000
100,0,0,1000
