Day,Susceptible,Infected,Recovered
1,999,1,0
2,998,2,0
3,998,2,0
4,996,4,0
5,996,4,0
6,994,5,1
7,992,7,1
8,989,9,2
9,981,16,3
10,977,20,3
11,970,27,3
12,958,37,5
13,939,50,11
14,923,57,20
15,892,82,26
16,867,103,30
17,833,126,41
18,796,153,51
19,770,159,71
20,744,171,85
21,704,195,101
22,676,201,123
23,645,217,138
24,611,227,162
25,575,233,192
26,550,244,206
27,528,239,233
28,506,240,254
29,479,234,287
30,449,246,305
31,425,236,339
32,404,231,365
33,385,228,387
34,362,235,403
35,345,231,424
36,325,224,451
37,308,226,466
38,292,221,487
39,278,211,511
40,270,200,530
41,257,187,556
42,245,179,576
43,231,174,595
44,222,173,605
45,208,173,619
46,197,168,635
47,193,155,652
48,186,141,673
49,180,139,681
50,175,133,692
51,171,123,706
52,166,116,718
53,157,114,729
54,152,106,742
55,144,101,755
56,138,94,768
57,134,83,783
58,130,75,795
59,128,72,800
60,125,68,807
61,124,64,812
62,121,59,820
63,119,58,823
64,117,55,828
65,117,50,833
66,114,50,836
67,114,43,843
68,113,40,847
69,108,36,856
70,106,31,863
71,104,27,869
72,102,27,871
73,102,22,876
74,100,21,879
75,98,22,880
76,98,22,880
77,97,21,882
78,97,20,883
79,97,16,887
80,97,14,889
81,96,13,891
82,96,13,891
83,96,11,893
84,96,9,895
85,96,9,895
86,96,6,898
87,96,6,898
88,96,5,899
89,96,5,899
90,96,5,899
91,96,5,899
92,96,5,899
93,96,4,900
94,96,4,900
95,96,4,900
96,96,4,900
97,96,4,900
98,96,3,901
99,96,3,901
100,96,3,901
