Day,Susceptible,Infected,Recovered
1,999,1,0
2,997,3,0
3,995,5,0
4,992,8,0
5,988,12,0
6,984,15,1
7,977,21,2
8,972,23,5
9,963,32,5
10,952,41,7
11,933,57,10
12,923,62,15
13,908,72,20
14,892,79,29
15,875,90,35
16,849,104,47
17,828,119,53
18,800,134,66
19,783,137,80
20,761,149,90
21,732,164,104
22,710,161,129
23,677,179,144
24,648,193,159
25,620,205,175
26,602,206,192
27,580,218,202
28,550,220,230
29,520,225,255
30,495,228,277
31,474,223,303
32,462,210,328
33,445,211,344
34,422,210,368
35,409,195,396
36,394,193,413
37,371,201,428
38,357,191,452
39,349,179,472
40,337,171,492
41,329,165,506
42,317,157,526
43,308,150,542
44,296,144,560
45,286,143,571
46,276,143,581
47,263,140,597
48,251,132,617
49,240,136,624
50,232,130,638
51,223,124,653
52,217,120,663
53,212,107,681
54,208,100,692
55,202,97,701
56,197,93,710
57,190,88,722
58,187,84,729
59,181,84,735
60,178,76,746
61,174,71,755
62,168,67,765
63,166,59,775
64,165,57,778
65,162,54,784
66,159,51,790
67,155,48,797
68,154,41,805
69,152,40,808
70,151,38,811
71,148,38,814
72,146,34,820
73,144,32,824
74,140,30,830
75,140,25,835
76,139,24,837
77,139,24,837
78,137,24,839
79,134,24,842
80,134,20,846
81,133,20,847
82,133,19,848
83,132,19,849
84,132,17,851
85,132,16,852
86,131,13,856
87,131,12,857
88,130,10,860
89,129,9,862
90,129,7,864
91,129,7,864
92,129,7,864
93,128,6,866
94,127,5,868
95,127,4,869
96,127,4,869
97,127,3,870
98,127,3,870
99,127,3,870
100,127,1,872
