Day,Susceptible,Infected,Recovered
1,999,1,0
2,994,6,0
3,985,15,0
4,973,26,1
5,956,41,3
6,937,56,7
7,918,70,12
8,893,87,20
9,867,102,31
10,843,117,40
11,813,135,52
12,793,141,66
13,769,152,79
14,735,173,92
15,711,177,112
16,685,185,130
17,662,190,148
18,644,184,172
19,606,199,195
20,583,198,219
21,565,203,232
22,541,205,254
23,520,207,273
24,486,216,298
25,472,202,326
26,455,202,343
27,438,199,363
28,420,198,382
29,398,203,399
30,380,193,427
31,359,194,447
32,351,177,472
33,345,158,497
34,337,152,511
35,329,144,527
36,319,136,545
37,314,126,560
38,310,110,580
39,298,115,587
40,288,111,601
41,280,109,611
42,270,106,624
43,263,102,635
44,258,95,647
45,252,89,659
46,246,83,671
47,243,82,675
48,236,79,685
49,234,68,698
50,231,62,707
51,229,60,711
52,226,61,713
53,225,55,720
54,222,50,728
55,221,47,732
56,219,45,736
57,219,36,745
58,216,38,746
59,215,35,750
60,213,32,755
61,212,31,757
62,210,28,762
63,208,28,764
64,204,30,766
65,201,30,769
66,200,28,772
67,196,31,773
68,194,29,777
69,194,28,778
70,193,24,783
71,190,25,785
72,188,26,786
73,188,26,786
74,188,21,791
75,187,20,793
76,186,17,797
77,186,16,798
78,186,15,799
79,186,12,802
80,185,11,804
81,184,11,805
82,184,11,805
83,184,10,806
84,183,9,808
85,183,7,810
86,182,7,811
87,182,7,811
88,181,8,811
89,181,7,812
90,180,8,812
91,180,8,812
92,180,6,814
93,179,5,816
94,179,5,816
95,178,4,818
96,178,3,819
97,177,4,819
98,177,4,819
99,177,4,819
100,177,4,819
