Day,Susceptible,Infected,Recovered
1,999,1,0
2,996,4,0
3,991,8,1
4,981,18,1
5,952,47,1
6,924,70,6
7,885,104,11
8,845,136,19
9,807,161,32
10,764,189,47
11,719,219,62
12,688,228,84
13,667,223,110
14,632,227,141
15,607,229,164
16,578,227,195
17,549,237,214
18,526,241,233
19,501,235,264
20,470,243,287
21,447,241,312
22,427,232,341
23,412,227,361
24,395,211,394
25,380,209,411
26,361,206,433
27,348,197,455
28,330,191,479
29,307,193,500
30,295,187,518
31,282,186,532
32,269,182,549
33,254,178,568
34,238,180,582
35,229,168,603
36,215,167,618
37,197,166,637
38,186,157,657
39,183,148,669
40,181,128,691
41,174,123,703
42,163,118,719
43,158,112,730
44,153,103,744
45,141,103,756
46,133,99,768
47,133,90,777
48,124,84,792
49,119,83,798
50,115,80,805
51,112,75,813
52,106,73,821
53,103,72,825
54,101,70,829
55,99,63,838
56,93,66,841
57,92,63,845
58,90,54,856
59,90,49,861
60,90,48,862
61,89,46,865
62,85,47,868
63,80,48,872
64,78,43,879
65,78,39,883
66,76,36,888
67,75,34,891
68,73,34,893
69,73,33,894
70,72,29,899
71,71,29,900
72,70,30,900
73,70,25,905
74,70,25,905
75,69,24,907
76,68,23,909
77,65,26,909
78,64,24,912
79,61,24,915
80,60,23,917
81,59,21,920
82,59,19,922
83,59,18,923
84,59,16,925
85,59,16,925
86,59,13,928
87,59,11,930
88,59,9,932
89,59,9,932
90,59,7,934
91,59,7,934
92,59,5,936
93,59,4,937
94,59,4,937
95,59,4,937
96,59,3,938
97,59,2,939
98,59,2,939
99,59,2,939
100,59,2,939
