Day,Susceptible,Infected,Recovered
1,999,1,0
2,998,2,0
3,994,6,0
4,990,9,1
5,979,18,3
6,968,26,6
7,952,41,7
8,927,61,12
9,884,98,18
10,848,121,31
11,813,146,41
12,762,188,50
13,730,202,68
14,703,205,92
15,677,212,111
16,643,228,129
17,599,251,150
18,582,235,183
19,549,249,202
20,533,234,233
21,509,228,263
22,478,240,282
23,459,235,306
24,435,235,330
25,412,232,356
26,395,222,383
27,373,229,398
28,355,225,420
29,341,219,440
30,320,217,463
31,302,213,485
32,290,199,511
33,281,189,530
34,263,186,551
35,251,181,568
36,236,182,582
37,219,180,601
38,212,177,611
39,203,163,634
40,193,162,645
41,182,158,660
42,169,156,675
43,162,148,690
44,156,134,710
45,146,129,725
46,142,121,737
47,136,117,747
48,131,110,759
49,130,104,766
50,122,102,776
51,121,90,789
52,117,91,792
53,114,84,802
54,112,78,810
55,110,70,820
56,105,70,825
57,100,68,832
58,95,66,839
59,91,61,848
60,88,60,852
61,87,56,857
62,84,53,863
63,82,47,871
64,80,46,874
65,80,40,880
66,79,33,888
67,78,29,893
68,77,28,895
69,76,25,899
70,75,24,901
71,74,22,904
72,73,19,908
73,73,13,914
74,73,10,917
75,73,9,918
76,73,5,922
77,73,5,922
78,73,3,924
79,73,3,924
80,73,2,925
81,73,2,925
82,73,2,925
83,73,2,925
84,73,2,925
85,73,1,926
86,73,1,926
87,73,1,926
88,73,1,926
89,73,1,926
90,73,1,926
91,73,1,926
92,73,0,927
93,73,0,927
94,73,0,927
95,73,0,927
96,73,0,927
97,73,0,927
98,73,0,927
99,73,0,927
100,73,0,927
