Day,Susceptible,Infected,Recovered
1,999,1,0
2,997,2,1
3,996,2,2
4,996,1,3
5,995,2,3
6,994,3,3
7,994,3,3
8,993,3,4
9,992,4,4
10,989,7,4
11,988,8,4
12,985,10,5
13,980,13,7
14,973,15,12
15,963,25,12
16,954,31,15
17,944,37,19
18,924,51,25
19,900,70,30
20,871,93,36
21,828,127,45
22,779,161,60
23,734,187,79
24,676,222,102
25,607,268,125
26,534,313,153
27,463,353,184
28,390,389,221
29,319,418,263
30,259,437,304
31,206,446,348
32,163,438,399
33,116,444,440
34,79,443,478
35,57,425,518
36,34,400,566
37,22,375,603
38,12,344,644
39,5,326,669
40,2,291,707
41,2,262,736
42,1,242,757
43,0,227,773
44,0,197,803
45,0,175,825
46,0,157,843
47,0,144,856
48,0,130,870
49,0,118,882
50,0,108,892
51,0,98,902
52,0,90,910
53,0,82,918
54,0,78,922
55,0,69,931
56,0,66,934
57,0,63,937
58,0,51,949
59,0,45,955
60,0,39,961
61,0,36,964
62,0,30,970
63,0,27,973
64,0,23,977
65,0,21,979
66,0,18,982
67,0,16,984
68,0,13,987
69,0,12,988
70,0,9,991
71,0,9,991
72,0,9,991
73,0,8,992
74,0,8,992
75,0,6,994
76,0,6,994
77,0,5,995
78,0,5,995
79,0,5,995
80,0,5,995
81,0,5,995
82,0,5,995
83,0,5,995
84,0,5,995
85,0,5,995
86,0,5,995
87,0,5,995
88,0,5,995
89,0,5,995
90,0,4,996
91,0,3,997
92,0,3,997
93,0,3,997
94,0,3,997
95,0,3,997
96,0,2,998
97,0,1,999
98,0,1,999
99,0,1,999
100,0,1,999
