Day,Susceptible,Infected,Recovered
1,999,1,0
2,952,48,0
3,800,195,5
4,558,418,24
5,342,600,58
6,199,679,122
7,108,708,184
8,52,684,264
9,30,627,343
10,24,569,407
11,18,527,455
12,15,476,509
13,14,431,555
14,13,389,598
15,13,354,633
16,13,320,667
17,13,287,700
18,13,266,721
19,13,249,738
20,13,219,768
21,13,198,789
22,13,182,805
23,13,167,820
24,13,147,840
25,13,125,862
26,13,114,873
27,13,106,881
28,13,95,892
29,13,90,897
30,13,81,906
31,13,73,914
32,13,66,921
33,13,61,926
34,13,55,932
35,13,50,937
36,13,45,942
37,13,43,944
38,13,35,952
39,13,33,954
40,13,31,956
41,13,23,964
42,13,20,967
43,13,19,968
44,13,17,970
45,13,16,971
46,13,16,971
47,13,14,973
48,13,11,976
49,13,9,978
50,13,9,978
51,13,9,978
52,13,9,978
53,13,9,978
54,13,7,980
55,13,6,981
56,13,5,982
57,13,4,983
58,13,4,983
59,13,3,984
60,13,3,984
61,13,2,985
62,13,2,985
63,13,2,985
64,13,2,985
65,13,2,985
66,13,2,985
67,13,2,985
68,13,2,985
69,13,2,985
70,13,2,985
71,13,2,985
72,13,2,985
73,13,1,986
74,13,1,986
75,13,1,986
76,13,1,986
77,13,1,986
78,13,1,986
79,13,1,986
80,13,1,986
81,13,1,986
82,13,0,987
83,13,0,987
84,13,0,987
85,13,0,987
86,13,0,987
87,13,0,987
88,13,0,987
89,13,0,987
90,13,0,987
91,13,0,987
92,13,0,987
93,13,0,987
94,13,0,987
95,13,0,987
96,13,0,987
97,13,0,987
98,13,0,987
99,13,0,987
100,13,0,987
