Day,Susceptible,Infected,Recovered
1,999,1,0
2,999,1,0
3,997,3,0
4,996,4,0
5,994,5,1
6,991,8,1
7,985,13,2
8,982,16,2
9,973,24,3
10,959,36,5
11,933,58,9
12,906,78,16
13,868,111,21
14,819,150,31
15,756,201,43
16,667,261,72
17,560,343,97
18,449,432,119
19,346,495,159
20,247,539,214
21,167,567,266
22,112,569,319
23,78,547,375
24,54,515,431
25,34,495,471
26,24,464,512
27,10,428,562
28,8,388,604
29,6,351,643
30,1,325,674
31,0,289,711
32,0,259,741
33,0,221,779
34,0,193,807
35,0,175,825
36,0,159,841
37,0,145,855
38,0,123,877
39,0,104,896
40,0,97,903
41,0,89,911
42,0,86,914
43,0,78,922
44,0,69,931
45,0,62,938
46,0,54,946
47,0,48,952
48,0,47,953
49,0,38,962
50,0,33,967
51,0,28,972
52,0,27,973
53,0,23,977
54,0,19,981
55,0,17,983
56,0,16,984
57,0,15,985
58,0,12,988
59,0,9,991
60,0,7,993
61,0,6,994
62,0,6,994
63,0,4,996
64,0,4,996
65,0,3,997
66,0,3,997
67,0,3,997
68,0,3,997
69,0,3,997
70,0,2,998
71,0,2,998
72,0,2,998
73,0,1,999
74,0,1,999
75,0,1,999
76,0,1,999
77,0,1,999
78,0,0,1000
79,0,0,1000
80,0,0,1000
81,0,0,1000
82,0,0,1000
83,0,0,1000
84,0,0,1000
85,0,0,1000
86,0,0,1000
87,0,0,1000
88,0,0,1000
89,0,0,1000
90,0,0,1000
91,0,0,1000
92,0,0,1000
93,0,0,1000
94,0,0,1000
95,0,0,1000
96,0,0,1000
97,0,0,1000
98,0,0,1000
99,0,0,1000
100,0,0,1000
