Day,Susceptible,Infected,Recovered
1,999,1,0
2,992,8,0
3,922,76,2
4,582,402,16
5,270,676,54
6,134,756,110
7,59,760,181
8,27,700,273
9,15,652,333
10,9,582,409
11,4,529,467
12,1,492,507
13,1,434,565
14,1,391,608
15,1,347,652
16,0,316,684
17,0,277,723
18,0,255,745
19,0,233,767
20,0,214,786
21,0,195,805
22,0,176,824
23,0,153,847
24,0,142,858
25,0,127,873
26,0,115,885
27,0,105,895
28,0,98,902
29,0,91,909
30,0,83,917
31,0,79,921
32,0,70,930
33,0,61,939
34,0,55,945
35,0,48,952
36,0,44,956
37,0,39,961
38,0,34,966
39,0,32,968
40,0,29,971
41,0,25,975
42,0,21,979
43,0,20,980
44,0,19,981
45,0,14,986
46,0,11,989
47,0,8,992
48,0,8,992
49,0,8,992
50,0,7,993
51,0,6,994
52,0,6,994
53,0,6,994
54,0,5,995
55,0,3,997
56,0,3,997
57,0,3,997
58,0,3,997
59,0,3,997
60,0,3,997
61,0,3,997
62,0,2,998
63,0,2,998
64,0,2,998
65,0,2,998
66,0,2,998
67,0,2,998
68,0,2,998
69,0,2,998
70,0,2,998
71,0,2,998
72,0,2,998
73,0,2,998
74,0,2,998
75,0,2,998
76,0,1,999
77,0,0,1000
78,0,0,1000
79,0,0,1000
80,0,0,1000
81,0,0,1000
82,0,0,1000
83,0,0,1000
84,0,0,1000
85,0,0,1000
86,0,0,1000
87,0,0,1000
88,0,0,1000
89,0,0,1000
90,0,0,1000
91,0,0,1000
92,0,0,1000
93,0,0,1000
94,0,0,1000
95,0,0,1000
96,0,0,1000
97,0,0,1000
98,0,0,1000
99,0,0,1000
100,0,0,1000
