Day,Susceptible,Infected,Recovered
1,999,1,0
2,994,6,0
3,953,47,0
4,773,221,6
5,428,548,24
6,213,713,74
7,122,739,139
8,58,732,210
9,27,685,288
10,19,631,350
11,8,576,416
12,3,524,473
13,1,475,524
14,0,434,566
15,0,392,608
16,0,350,650
17,0,312,688
18,0,283,717
19,0,251,749
20,0,231,769
21,0,206,794
22,0,186,814
23,0,175,825
24,0,161,839
25,0,149,851
26,0,133,867
27,0,126,874
28,0,114,886
29,0,102,898
30,0,93,907
31,0,81,919
32,0,70,930
33,0,65,935
34,0,60,940
35,0,53,947
36,0,47,953
37,0,43,957
38,0,40,960
39,0,38,962
40,0,34,966
41,0,33,967
42,0,27,973
43,0,24,976
44,0,24,976
45,0,21,979
46,0,18,982
47,0,15,985
48,0,13,987
49,0,13,987
50,0,13,987
51,0,11,989
52,0,9,991
53,0,6,994
54,0,6,994
55,0,6,994
56,0,6,994
57,0,4,996
58,0,3,997
59,0,1,999
60,0,1,999
61,0,1,999
62,0,1,999
63,0,1,999
64,0,1,999
65,0,1,999
66,0,1,999
67,0,1,999
68,0,0,1000
69,0,0,1000
70,0,0,1000
71,0,0,1000
72,0,0,1000
73,0,0,1000
74,0,0,1000
75,0,0,1000
76,0,0,1000
77,0,0,1000
78,0,0,1000
79,0,0,1000
80,0,0,1000
81,0,0,1000
82,0,0,1000
83,0,0,1000
84,0,0,1000
85,0,0,1000
86,0,0,1000
87,0,0,1000
88,0,0,1000
89,0,0,1000
90,0,0,1000
91,0,0,1000
92,0,0,1000
93,0,0,1000
94,0,0,1000
95,0,0,1000
96,0,0,1000
97,0,0,1000
98,0,0,1000
99,0,0,1000
100,0,0,1000
