Day,Susceptible,Infected,Recovered
1,999,1,0
2,998,1,1
3,997,2,1
4,995,4,1
5,993,5,2
6,989,8,3
7,983,12,5
8,977,16,7
9,971,21,8
10,961,30,9
11,950,39,11
12,947,39,14
13,940,43,17
14,925,53,22
15,915,60,25
16,896,75,29
17,881,84,35
18,863,95,42
19,849,101,50
20,829,111,60
21,805,125,70
22,786,135,79
23,766,144,90
24,742,160,98
25,717,169,114
26,695,174,131
27,685,169,146
28,664,176,160
29,648,171,181
30,632,169,199
31,617,161,222
32,596,162,242
33,583,156,261
34,562,161,277
35,548,164,288
36,532,161,307
37,521,161,318
38,499,167,334
39,482,165,353
40,467,172,361
41,459,166,375
42,449,160,391
43,432,163,405
44,420,159,421
45,410,152,438
46,397,156,447
47,388,148,464
48,378,150,472
49,365,147,488
50,356,143,501
51,352,128,520
52,335,133,532
53,327,133,540
54,314,135,551
55,306,136,558
56,302,120,578
57,296,115,589
58,290,107,603
59,283,101,616
60,278,98,624
61,274,87,639
62,268,85,647
63,265,78,657
64,261,80,659
65,256,77,667
66,252,69,679
67,247,60,693
68,244,59,697
69,238,58,704
70,233,58,709
71,227,60,713
72,224,56,720
73,223,48,729
74,219,47,734
75,216,44,740
76,214,38,748
77,213,36,751
78,210,36,754
79,208,35,757
80,207,33,760
81,206,30,764
82,205,29,766
83,204,26,770
84,204,19,777
85,203,17,780
86,203,16,781
87,203,15,782
88,203,14,783
89,202,15,783
90,199,18,783
91,199,14,787
92,197,15,788
93,197,14,789
94,196,13,791
95,195,14,791
96,194,13,793
97,194,11,795
98,193,10,797
99,193,9,798
100,192,9,799
