Day,Susceptible,Infected,Recovered
1,999,1,0
2,999,1,0
3,998,2,0
4,997,3,0
5,997,3,0
6,996,3,1
7,993,6,1
8,993,5,2
9,991,6,3
10,987,9,4
11,983,11,6
12,978,15,7
13,971,21,8
14,955,33,12
15,937,46,17
16,917,59,24
17,907,61,32
18,882,80,38
19,867,88,45
20,846,99,55
21,822,118,60
22,805,123,72
23,779,132,89
24,755,149,96
25,737,147,116
26,720,147,133
27,691,159,150
28,677,155,168
29,668,148,184
30,647,162,191
31,630,164,206
32,614,166,220
33,599,166,235
34,584,159,257
35,565,164,271
36,554,159,287
37,538,160,302
38,519,166,315
39,509,155,336
40,493,161,346
41,484,153,363
42,478,141,381
43,469,139,392
44,446,148,406
45,432,149,419
46,426,136,438
47,415,136,449
48,406,134,460
49,394,134,472
50,379,135,486
51,369,133,498
52,359,137,504
53,346,131,523
54,339,126,535
55,337,114,549
56,326,114,560
57,315,117,568
58,310,107,583
59,301,109,590
60,292,100,608
61,284,93,623
62,277,87,636
63,273,81,646
64,268,81,651
65,260,80,660
66,248,76,676
67,245,74,681
68,240,71,689
69,235,67,698
70,226,70,704
71,219,69,712
72,213,69,718
73,207,64,729
74,202,58,740
75,198,58,744
76,197,52,751
77,192,51,757
78,192,47,761
79,190,44,766
80,186,42,772
81,184,40,776
82,180,41,779
83,180,38,782
84,180,32,788
85,178,33,789
86,176,35,789
87,174,35,791
88,171,36,793
89,164,40,796
90,163,39,798
91,160,40,800
92,159,38,803
93,157,38,805
94,154,39,807
95,151,36,813
96,149,32,819
97,147,34,819
98,146,31,823
99,145,29,826
100,144,27,829
