Day,Susceptible,Infected,Recovered
1,999,1,0
2,994,6,0
3,958,40,2
4,883,111,6
5,800,184,16
6,728,237,35
7,655,292,53
8,590,315,95
9,533,341,126
10,496,345,159
11,453,354,193
12,412,355,233
13,359,371,270
14,327,356,317
15,290,361,349
16,265,352,383
17,234,354,412
18,208,337,455
19,193,319,488
20,170,292,538
21,150,280,570
22,135,275,590
23,124,252,624
24,108,243,649
25,95,219,686
26,84,204,712
27,79,190,731
28,73,179,748
29,68,164,768
30,62,162,776
31,58,150,792
32,52,140,808
33,46,126,828
34,37,127,836
35,33,119,848
36,30,111,859
37,26,103,871
38,25,92,883
39,21,87,892
40,19,85,896
41,18,78,904
42,17,69,914
43,16,63,921
44,13,59,928
45,12,50,938
46,12,45,943
47,11,43,946
48,9,41,950
49,7,37,956
50,5,35,960
51,4,34,962
52,4,34,962
53,3,32,965
54,2,28,970
55,2,24,974
56,2,22,976
57,2,21,977
58,2,20,978
59,2,19,979
60,2,17,981
61,2,15,983
62,2,14,984
63,2,13,985
64,2,12,986
65,2,11,987
66,2,10,988
67,2,10,988
68,2,8,990
69,2,8,990
70,2,7,991
71,2,7,991
72,2,7,991
73,2,7,991
74,2,6,992
75,2,6,992
76,2,4,994
77,2,4,994
78,2,3,995
79,2,3,995
80,2,3,995
81,2,3,995
82,2,3,995
83,2,3,995
84,2,3,995
85,2,3,995
86,2,3,995
87,2,3,995
88,2,3,995
89,2,3,995
90,2,3,995
91,2,3,995
92,2,3,995
93,2,2,996
94,2,1,997
95,2,0,998
96,2,0,998
97,2,0,998
98,2,0,998
99,2,0,998
100,2,0,998
