Day,Susceptible,Infected,Recovered
1,999,1,0
2,998,2,0
3,997,3,0
4,993,6,1
5,989,8,3
6,987,10,3
7,985,10,5
8,979,15,6
9,974,19,7
10,968,21,11
11,958,29,13
12,938,46,16
13,914,67,19
14,893,79,28
15,868,97,35
16,831,128,41
17,783,162,55
18,738,193,69
19,690,222,88
20,633,256,111
21,572,293,135
22,512,323,165
23,467,340,193
24,410,367,223
25,368,369,263
26,336,354,310
27,307,347,346
28,273,354,373
29,245,352,403
30,220,342,438
31,201,326,473
32,179,312,509
33,162,300,538
34,145,287,568
35,132,276,592
36,124,259,617
37,110,254,636
38,100,246,654
39,90,231,679
40,80,214,706
41,75,202,723
42,66,190,744
43,61,171,768
44,56,158,786
45,51,145,804
46,45,133,822
47,44,116,840
48,42,105,853
49,41,97,862
50,38,92,870
51,33,85,882
52,31,80,889
53,29,73,898
54,28,70,902
55,27,66,907
56,25,62,913
57,21,61,918
58,21,54,925
59,21,50,929
60,21,48,931
61,21,42,937
62,21,33,946
63,21,30,949
64,21,27,952
65,21,20,959
66,21,18,961
67,21,18,961
68,21,16,963
69,21,15,964
70,21,15,964
71,21,13,966
72,21,11,968
73,21,10,969
74,21,8,971
75,21,7,972
76,21,7,972
77,21,4,975
78,21,4,975
79,21,3,976
80,21,3,976
81,21,2,977
82,21,2,977
83,21,1,978
84,21,1,978
85,21,1,978
86,21,1,978
87,21,1,978
88,21,1,978
89,21,1,978
90,21,1,978
91,21,1,978
92,21,1,978
93,21,1,978
94,21,1,978
95,21,1,978
96,21,1,978
97,21,1,978
98,21,1,978
99,21,1,978
100,21,1,978
