Day,Susceptible,Infected,Recovered
1,999,1,0
2,988,12,0
3,953,47,0
4,888,108,4
5,806,179,15
6,737,225,38
7,662,284,54
8,589,322,89
9,532,350,118
10,482,369,149
11,437,380,183
12,393,390,217
13,362,371,267
14,335,362,303
15,302,359,339
16,279,355,366
17,250,354,396
18,223,344,433
19,199,334,467
20,176,329,495
21,151,322,527
22,136,298,566
23,126,283,591
24,113,274,613
25,96,270,634
26,85,251,664
27,76,237,687
28,69,209,722
29,58,200,742
30,55,186,759
31,48,178,774
32,44,168,788
33,40,153,807
34,36,138,826
35,34,131,835
36,28,126,846
37,27,113,860
38,27,106,867
39,25,100,875
40,25,91,884
41,24,80,896
42,23,78,899
43,22,72,906
44,20,66,914
45,18,64,918
46,17,56,927
47,17,49,934
48,17,45,938
49,15,41,944
50,15,36,949
51,15,33,952
52,15,28,957
53,15,25,960
54,14,25,961
55,12,24,964
56,12,21,967
57,12,18,970
58,12,18,970
59,12,17,971
60,12,15,973
61,12,14,974
62,12,12,976
63,12,11,977
64,12,11,977
65,12,11,977
66,12,11,977
67,12,11,977
68,12,10,978
69,12,8,980
70,12,5,983
71,12,4,984
72,12,4,984
73,12,4,984
74,12,4,984
75,12,3,985
76,12,1,987
77,12,1,987
78,12,1,987
79,12,1,987
80,12,0,988
81,12,0,988
82,12,0,988
83,12,0,988
84,12,0,988
85,12,0,988
86,12,0,988
87,12,0,988
88,12,0,988
89,12,0,988
90,12,0,988
91,12,0,988
92,12,0,988
93,12,0,988
94,12,0,988
95,12,0,988
96,12,0,988
97,12,0,988
98,12,0,988
99,12,0,988
100,12,0,988
