Day,Susceptible,Infected,Recovered
1,999,1,0
2,984,16,0
3,964,35,1
4,945,52,3
5,907,82,11
6,881,103,16
7,847,127,26
8,818,134,48
9,791,151,58
10,756,176,68
11,713,206,81
12,670,226,104
13,628,253,119
14,594,256,150
15,561,266,173
16,536,268,196
17,513,272,215
18,487,265,248
19,456,267,277
20,436,266,298
21,415,252,333
22,388,256,356
23,373,247,380
24,352,247,401
25,340,241,419
26,321,230,449
27,304,228,468
28,290,217,493
29,279,208,513
30,271,201,528
31,263,192,545
32,252,182,566
33,245,169,586
34,238,156,606
35,229,148,623
36,216,145,639
37,212,137,651
38,209,122,669
39,201,112,687
40,195,111,694
41,192,105,703
42,190,100,710
43,187,94,719
44,185,84,731
45,184,78,738
46,182,71,747
47,182,61,757
48,182,58,760
49,182,53,765
50,182,47,771
51,182,44,774
52,182,41,777
53,182,38,780
54,182,31,787
55,182,29,789
56,182,26,792
57,182,20,798
58,182,18,800
59,182,17,801
60,182,14,804
61,182,12,806
62,182,11,807
63,182,9,809
64,182,9,809
65,182,9,809
66,182,9,809
67,182,8,810
68,182,7,811
69,182,6,812
70,182,6,812
71,182,5,813
72,182,5,813
73,182,5,813
74,182,4,814
75,182,4,814
76,182,4,814
77,182,4,814
78,182,3,815
79,182,2,816
80,182,1,817
81,182,1,817
82,182,1,817
83,182,1,817
84,182,1,817
85,182,1,817
86,182,1,817
87,182,0,818
88,182,0,818
89,182,0,818
90,182,0,818
91,182,0,818
92,182,0,818
93,182,0,818
94,182,0,818
95,182,0,818
96,182,0,818
97,182,0,818
98,182,0,818
99,182,0,818
100,182,0,818
