Day,Susceptible,Infected,Recovered
1,999,1,0
2,999,1,0
3,999,1,0
4,999,1,0
5,999,1,0
6,998,2,0
7,996,4,0
8,991,9,0
9,987,13,0
10,980,20,0
11,962,34,4
12,943,48,9
13,902,81,17
14,840,139,21
15,778,191,31
16,705,249,46
17,638,290,72
18,578,311,111
19,530,325,145
20,479,354,167
21,438,357,205
22,403,348,249
23,366,341,293
24,325,338,337
25,299,333,368
26,271,322,407
27,244,319,437
28,223,313,464
29,206,309,485
30,186,301,513
31,171,282,547
32,148,276,576
33,137,265,598
34,120,259,621
35,112,238,650
36,103,233,664
37,90,223,687
38,84,212,704
39,74,195,731
40,69,178,753
41,69,162,769
42,62,156,782
43,56,144,800
44,55,129,816
45,48,126,826
46,41,116,843
47,38,105,857
48,34,95,871
49,33,89,878
50,30,78,892
51,29,71,900
52,28,71,901
53,28,66,906
54,27,59,914
55,25,58,917
56,25,53,922
57,25,48,927
58,25,42,933
59,24,38,938
60,24,30,946
61,24,26,950
62,24,24,952
63,24,23,953
64,24,22,954
65,24,20,956
66,24,18,958
67,24,17,959
68,24,17,959
69,24,15,961
70,24,14,962
71,24,11,965
72,24,8,968
73,24,7,969
74,24,6,970
75,24,6,970
76,24,6,970
77,24,6,970
78,24,4,972
79,24,3,973
80,24,3,973
81,24,3,973
82,24,3,973
83,24,3,973
84,24,3,973
85,24,3,973
86,24,3,973
87,24,3,973
88,24,2,974
89,24,1,975
90,24,1,975
91,24,1,975
92,24,1,975
93,24,1,975
94,24,1,975
95,24,0,976
96,24,0,976
97,24,0,976
98,24,0,976
99,24,0,976
100,24,0,976
