Day,Susceptible,Infected,Recovered
1,999,1,0
2,991,9,0
3,965,35,0
4,932,67,1
5,874,120,6
6,822,158,20
7,766,203,31
8,702,243,55
9,631,286,83
10,578,317,105
11,527,332,141
12,484,346,170
13,438,357,205
14,401,355,244
15,363,363,274
16,333,356,311
17,298,346,356
18,268,336,396
19,241,323,436
20,223,314,463
21,201,297,502
22,185,280,535
23,169,264,567
24,157,249,594
25,144,238,618
26,130,233,637
27,116,223,661
28,107,209,684
29,100,195,705
30,97,177,726
31,90,166,744
32,84,157,759
33,81,148,771
34,79,131,790
35,72,125,803
36,70,114,816
37,67,111,822
38,64,100,836
39,62,91,847
40,61,88,851
41,59,82,859
42,58,74,868
43,55,69,876
44,51,62,887
45,50,60,890
46,50,55,895
47,50,53,897
48,48,50,902
49,48,46,906
50,48,42,910
51,48,38,914
52,48,32,920
53,47,31,922
54,47,27,926
55,47,25,928
56,47,23,930
57,47,23,930
58,47,21,932
59,47,17,936
60,47,16,937
61,47,15,938
62,47,13,940
63,47,11,942
64,47,9,944
65,47,8,945
66,47,7,946
67,47,5,948
68,47,5,948
69,47,5,948
70,47,5,948
71,47,5,948
72,47,5,948
73,47,5,948
74,47,4,949
75,47,3,950
76,47,1,952
77,47,1,952
78,47,1,952
79,47,1,952
80,47,1,952
81,47,1,952
82,47,1,952
83,47,1,952
84,47,1,952
85,47,0,953
86,47,0,953
87,47,0,953
88,47,0,953
89,47,0,953
90,47,0,953
91,47,0,953
92,47,0,953
93,47,0,953
94,47,0,953
95,47,0,953
96,47,0,953
97,47,0,953
98,47,0,953
99,47,0,953
100,47,0,953
