Day,Susceptible,Infected,Recovered
1,999,1,0
2,987,13,0
3,903,94,3
4,829,153,18
5,778,198,24
6,724,226,50
7,666,263,71
8,612,295,93
9,563,321,116
10,515,341,144
11,477,353,170
12,433,355,212
13,399,360,241
14,364,356,280
15,329,362,309
16,300,367,333
17,279,345,376
18,254,332,414
19,226,322,452
20,202,314,484
21,186,298,516
22,166,285,549
23,154,272,574
24,144,253,603
25,134,242,624
26,125,230,645
27,120,213,667
28,115,194,691
29,108,187,705
30,98,180,722
31,92,166,742
32,84,163,753
33,74,163,763
34,69,154,777
35,63,145,792
36,57,138,805
37,48,136,816
38,44,122,834
39,41,110,849
40,37,99,864
41,34,93,873
42,31,89,880
43,29,83,888
44,27,77,896
45,24,72,904
46,22,67,911
47,18,63,919
48,17,54,929
49,16,50,934
50,13,46,941
51,12,41,947
52,11,36,953
53,11,32,957
54,11,29,960
55,10,27,963
56,8,26,966
57,8,22,970
58,8,20,972
59,7,20,973
60,7,18,975
61,6,17,977
62,6,17,977
63,6,16,978
64,5,15,980
65,5,12,983
66,5,12,983
67,5,11,984
68,5,9,986
69,5,9,986
70,4,9,987
71,4,7,989
72,3,7,990
73,3,6,991
74,3,6,991
75,3,4,993
76,3,3,994
77,3,3,994
78,3,3,994
79,3,2,995
80,3,1,996
81,3,1,996
82,3,1,996
83,3,1,996
84,3,1,996
85,3,1,996
86,3,1,996
87,3,1,996
88,3,1,996
89,3,1,996
90,3,1,996
91,3,0,997
92,3,0,997
93,3,0,997
94,3,0,997
95,3,0,997
96,3,0,997
97,3,0,997
98,3,0,997
99,3,0,997
100,3,0,997
