Day,Susceptible,Infected,Recovered
1,999,1,0
2,997,3,0
3,988,11,1
4,971,27,2
5,952,41,7
6,930,59,11
7,901,83,16
8,870,105,25
9,850,110,40
10,830,120,50
11,804,137,59
12,785,136,79
13,768,140,92
14,746,150,104
15,726,152,122
16,704,162,134
17,696,147,157
18,675,156,169
19,653,162,185
20,635,168,197
21,619,156,225
22,604,155,241
23,586,163,251
24,564,169,267
25,542,164,294
26,531,157,312
27,517,149,334
28,505,148,347
29,491,145,364
30,480,143,377
31,465,144,391
32,453,142,405
33,444,137,419
34,439,132,429
35,430,127,443
36,420,128,452
37,413,127,460
38,400,128,472
39,392,124,484
40,390,115,495
41,382,107,511
42,377,100,523
43,373,95,532
44,367,89,544
45,362,88,550
46,356,83,561
47,353,71,576
48,348,69,583
49,343,70,587
50,338,70,592
51,338,65,597
52,334,61,605
53,333,56,611
54,333,53,614
55,331,50,619
56,328,50,622
57,326,42,632
58,324,42,634
59,322,41,637
60,322,37,641
61,320,35,645
62,319,33,648
63,318,33,649
64,318,28,654
65,318,24,658
66,317,23,660
67,317,22,661
68,317,20,663
69,317,19,664
70,316,17,667
71,314,18,668
72,313,17,670
73,313,14,673
74,313,14,673
75,313,11,676
76,312,12,676
77,312,11,677
78,312,9,679
79,312,8,680
80,312,6,682
81,312,5,683
82,312,5,683
83,312,5,683
84,312,4,684
85,312,4,684
86,312,4,684
87,312,4,684
88,312,4,684
89,312,3,685
90,312,3,685
91,312,3,685
92,312,3,685
93,312,3,685
94,312,3,685
95,312,2,686
96,312,2,686
97,312,2,686
98,312,2,686
99,312,2,686
100,312,2,686
