Day,Susceptible,Infected,Recovered
1,999,1,0
2,998,2,0
3,998,2,0
4,997,3,0
5,996,2,2
6,995,3,2
7,991,6,3
8,985,12,3
9,974,19,7
10,954,37,9
11,934,55,11
12,898,84,18
13,855,114,31
14,812,148,40
15,764,187,49
16,716,211,73
17,667,243,90
18,615,272,113
19,562,301,137
20,522,312,166
21,485,315,200
22,454,315,231
23,426,317,257
24,399,321,280
25,371,314,315
26,342,312,346
27,318,305,377
28,296,289,415
29,280,281,439
30,255,285,460
31,235,284,481
32,221,254,525
33,204,241,555
34,191,233,576
35,175,236,589
36,159,222,619
37,149,214,637
38,136,194,670
39,120,184,696
40,113,172,715
41,105,165,730
42,100,149,751
43,94,136,770
44,83,132,785
45,78,120,802
46,73,111,816
47,71,100,829
48,65,97,838
49,62,90,848
50,58,86,856
51,55,84,861
52,55,78,867
53,55,72,873
54,54,63,883
55,51,60,889
56,51,54,895
57,51,48,901
58,51,45,904
59,51,39,910
60,50,36,914
61,49,34,917
62,49,31,920
63,49,29,922
64,49,27,924
65,49,23,928
66,49,18,933
67,49,17,934
68,49,17,934
69,49,17,934
70,49,14,937
71,49,14,937
72,49,13,938
73,49,13,938
74,49,13,938
75,49,13,938
76,49,11,940
77,49,11,940
78,49,11,940
79,49,10,941
80,49,9,942
81,49,9,942
82,49,7,944
83,49,6,945
84,49,6,945
85,49,4,947
86,49,3,948
87,49,3,948
88,49,3,948
89,49,3,948
90,49,3,948
91,49,3,948
92,49,3,948
93,49,2,949
94,49,2,949
95,49,2,949
96,49,2,949
97,49,2,949
98,49,2,949
99,49,2,949
100,49,1,950
