Day,Susceptible,Infected,Recovered
1,999,1,0
2,999,1,0
3,998,2,0
4,996,4,0
5,995,5,0
6,992,8,0
7,987,11,2
8,985,9,6
9,983,9,8
10,980,11,9
11,976,13,11
12,972,17,11
13,966,21,13
14,954,30,16
15,941,42,17
16,924,54,22
17,903,73,24
18,879,94,27
19,847,122,31
20,812,147,41
21,776,170,54
22,731,199,70
23,680,227,93
24,631,246,123
25,595,260,145
26,547,284,169
27,505,303,192
28,466,316,218
29,433,316,251
30,398,322,280
31,367,321,312
32,333,326,341
33,305,322,373
34,276,318,406
35,254,302,444
36,234,301,465
37,218,289,493
38,199,272,529
39,183,255,562
40,168,244,588
41,157,231,612
42,145,218,637
43,138,210,652
44,129,202,669
45,120,195,685
46,114,180,706
47,104,162,734
48,95,154,751
49,88,151,761
50,81,131,788
51,77,118,805
52,75,102,823
53,73,95,832
54,71,86,843
55,70,81,849
56,69,75,856
57,67,71,862
58,67,67,866
59,67,63,870
60,66,60,874
61,63,54,883
62,63,45,892
63,62,43,895
64,62,39,899
65,61,36,903
66,61,33,906
67,59,31,910
68,59,26,915
69,58,27,915
70,57,26,917
71,57,24,919
72,56,25,919
73,56,22,922
74,55,19,926
75,55,18,927
76,55,16,929
77,55,15,930
78,55,14,931
79,55,13,932
80,55,11,934
81,55,10,935
82,55,10,935
83,54,11,935
84,54,11,935
85,54,9,937
86,54,8,938
87,54,8,938
88,54,8,938
89,54,8,938
90,54,7,939
91,54,6,940
92,54,4,942
93,54,2,944
94,54,2,944
95,54,2,944
96,54,1,945
97,54,1,945
98,54,1,945
99,54,1,945
100,54,1,945
