Day,Susceptible,Infected,Recovered
1,999,1,0
2,998,2,0
3,997,2,1
4,997,2,1
5,997,1,2
6,997,1,2
7,997,1,2
8,997,1,2
9,997,1,2
10,996,2,2
11,996,2,2
12,995,3,2
13,995,3,2
14,995,2,3
15,995,2,3
16,995,2,3
17,994,3,3
18,994,2,4
19,993,3,4
20,993,3,4
21,993,2,5
22,993,1,6
23,993,1,6
24,993,1,6
25,993,1,6
26,993,1,6
27,993,1,6
28,993,1,6
29,993,1,6
30,993,0,7
31,993,0,7
32,993,0,7
33,993,0,7
34,993,0,7
35,993,0,7
36,993,0,7
37,993,0,7
38,993,0,7
39,993,0,7
40,993,0,7
41,993,0,7
42,993,0,7
43,993,0,7
44,993,0,7
45,993,0,7
46,993,0,7
47,993,0,7
48,993,0,7
49,993,0,7
50,993,0,7
51,993,0,7
52,993,0,7
53,993,0,7
54,993,0,7
55,993,0,7
56,993,0,7
57,993,0,7
58,993,0,7
59,993,0,7
60,993,0,7
61,993,0,7
62,993,0,7
63,993,0,7
64,993,0,7
65,993,0,7
66,993,0,7
67,993,0,7
68,993,0,7
69,993,0,7
70,993,0,7
71,993,0,7
72,993,0,7
73,993,0,7
74,993,0,7
75,993,0,7
76,993,0,7
77,993,0,7
78,993,0,7
79,993,0,7
80,993,0,7
81,993,0,7
82,993,0,7
83,993,0,7
84,993,0,7
85,993,0,7
86,993,0,7
87,993,0,7
88,993,0,7
89,993,0,7
90,993,0,7
91,993,0,7
92,993,0,7
93,993,0,7
94,993,0,7
95,993,0,7
96,993,0,7
97,993,0,7
98,993,0,7
99,993,0,7
100,993,0,7
