Day,Susceptible,Infected,Recovered
1,999,1,0
2,965,35,0
3,871,127,2
4,811,167,22
5,747,208,45
6,691,243,66
7,632,278,90
8,583,302,115
9,534,312,154
10,495,325,180
11,450,338,212
12,415,341,244
13,386,332,282
14,354,335,311
15,325,325,350
16,298,317,385
17,276,307,417
18,263,287,450
19,241,281,478
20,215,279,506
21,198,265,537
22,178,255,567
23,160,251,589
24,146,240,614
25,135,224,641
26,119,215,666
27,109,211,680
28,99,205,696
29,93,187,720
30,84,180,736
31,70,184,746
32,63,176,761
33,61,161,778
34,57,150,793
35,51,140,809
36,47,131,822
37,43,122,835
38,39,114,847
39,33,108,859
40,30,102,868
41,27,95,878
42,27,89,884
43,26,86,888
44,26,82,892
45,24,78,898
46,23,72,905
47,19,72,909
48,17,66,917
49,17,64,919
50,14,63,923
51,13,54,933
52,13,46,941
53,11,39,950
54,9,37,954
55,9,35,956
56,9,34,957
57,8,32,960
58,7,29,964
59,6,26,968
60,6,23,971
61,6,17,977
62,5,15,980
63,5,15,980
64,5,15,980
65,5,14,981
66,4,15,981
67,3,12,985
68,2,12,986
69,2,12,986
70,1,13,986
71,1,11,988
72,1,9,990
73,1,9,990
74,1,8,991
75,1,7,992
76,1,6,993
77,1,6,993
78,1,6,993
79,1,6,993
80,1,6,993
81,1,6,993
82,1,6,993
83,1,5,994
84,1,4,995
85,1,4,995
86,1,3,996
87,1,3,996
88,1,1,998
89,1,1,998
90,1,1,998
91,1,1,998
92,1,1,998
93,1,1,998
94,1,1,998
95,1,1,998
96,1,1,998
97,1,1,998
98,1,1,998
99,1,1,998
100,1,1,998
