Day,Susceptible,Infected,Recovered
1,999,1,0
2,997,3,0
3,995,5,0
4,983,17,0
5,971,29,0
6,947,49,4
7,923,65,12
8,860,120,20
9,773,196,31
10,673,276,51
11,570,357,73
12,469,430,101
13,370,484,146
14,299,516,185
15,239,521,240
16,189,512,299
17,152,484,364
18,120,465,415
19,94,451,455
20,79,422,499
21,63,403,534
22,49,373,578
23,40,348,612
24,35,322,643
25,26,294,680
26,19,278,703
27,13,262,725
28,11,237,752
29,8,219,773
30,8,198,794
31,7,176,817
32,6,160,834
33,5,145,850
34,5,134,861
35,5,127,868
36,5,111,884
37,3,98,899
38,2,88,910
39,2,80,918
40,2,75,923
41,2,66,932
42,2,61,937
43,2,56,942
44,2,54,944
45,2,48,950
46,2,40,958
47,2,37,961
48,2,32,966
49,2,30,968
50,2,27,971
51,2,20,978
52,2,15,983
53,2,13,985
54,2,11,987
55,2,10,988
56,2,6,992
57,2,6,992
58,2,5,993
59,2,5,993
60,2,5,993
61,2,5,993
62,2,4,994
63,2,4,994
64,2,4,994
65,2,4,994
66,2,4,994
67,2,4,994
68,2,4,994
69,2,3,995
70,2,2,996
71,2,2,996
72,2,1,997
73,2,1,997
74,2,1,997
75,2,1,997
76,2,0,998
77,2,0,998
78,2,0,998
79,2,0,998
80,2,0,998
81,2,0,998
82,2,0,998
83,2,0,998
84,2,0,998
85,2,0,998
86,2,0,998
87,2,0,998
88,2,0,998
89,2,0,998
90,2,0,998
91,2,0,998
92,2,0,998
93,2,0,998
94,2,0,998
95,2,0,998
96,2,0,998
97,2,0,998
98,2,0,998
99,2,0,998
100,2,0,998
