Day,Susceptible,Infected,Recovered
1,999,1,0
2,918,82,0
3,742,251,7
4,593,372,35
5,458,459,83
6,371,509,120
7,288,535,177
8,230,536,234
9,172,550,278
10,130,542,328
11,107,519,374
12,83,481,436
13,65,457,478
14,54,426,520
15,45,384,571
16,36,352,612
17,33,328,639
18,28,303,669
19,19,290,691
20,18,263,719
21,10,246,744
22,9,223,768
23,6,205,789
24,5,183,812
25,4,161,835
26,2,143,855
27,2,125,873
28,1,111,888
29,0,105,895
30,0,99,901
31,0,94,906
32,0,83,917
33,0,74,926
34,0,69,931
35,0,64,936
36,0,61,939
37,0,52,948
38,0,47,953
39,0,45,955
40,0,42,958
41,0,39,961
42,0,38,962
43,0,32,968
44,0,27,973
45,0,26,974
46,0,22,978
47,0,18,982
48,0,16,984
49,0,14,986
50,0,13,987
51,0,11,989
52,0,9,991
53,0,9,991
54,0,7,993
55,0,7,993
56,0,7,993
57,0,7,993
58,0,6,994
59,0,5,995
60,0,5,995
61,0,3,997
62,0,2,998
63,0,2,998
64,0,1,999
65,0,1,999
66,0,0,1000
67,0,0,1000
68,0,0,1000
69,0,0,1000
70,0,0,1000
71,0,0,1000
72,0,0,1000
73,0,0,1000
74,0,0,1000
75,0,0,1000
76,0,0,1000
77,0,0,1000
78,0,0,1000
79,0,0,1000
80,0,0,1000
81,0,0,1000
82,0,0,1000
83,0,0,1000
84,0,0,1000
85,0,0,1000
86,0,0,1000
87,0,0,1000
88,0,0,1000
89,0,0,1000
90,0,0,1000
91,0,0,1000
92,0,0,1000
93,0,0,1000
94,0,0,1000
95,0,0,1000
96,0,0,1000
97,0,0,1000
98,0,0,1000
99,0,0,1000
100,0,0,1000
