Day,Susceptible,Infected,Recovered
1,999,1,0
2,985,15,0
3,907,92,1
4,738,251,11
5,582,378,40
6,462,454,84
7,356,515,129
8,288,526,186
9,227,542,231
10,184,532,284
11,143,505,352
12,115,487,398
13,91,448,461
14,69,421,510
15,50,403,547
16,41,381,578
17,31,347,622
18,24,323,653
19,23,288,689
20,15,266,719
21,9,253,738
22,9,229,762
23,8,217,775
24,5,195,800
25,5,175,820
26,3,158,839
27,2,144,854
28,1,130,869
29,1,113,886
30,1,101,898
31,1,96,903
32,1,84,915
33,1,78,921
34,1,73,926
35,0,64,936
36,0,58,942
37,0,53,947
38,0,46,954
39,0,40,960
40,0,36,964
41,0,33,967
42,0,27,973
43,0,23,977
44,0,21,979
45,0,19,981
46,0,17,983
47,0,15,985
48,0,13,987
49,0,13,987
50,0,12,988
51,0,9,991
52,0,8,992
53,0,8,992
54,0,8,992
55,0,8,992
56,0,8,992
57,0,7,993
58,0,7,993
59,0,6,994
60,0,6,994
61,0,5,995
62,0,4,996
63,0,4,996
64,0,4,996
65,0,2,998
66,0,2,998
67,0,2,998
68,0,2,998
69,0,1,999
70,0,1,999
71,0,1,999
72,0,1,999
73,0,1,999
74,0,1,999
75,0,1,999
76,0,1,999
77,0,1,999
78,0,1,999
79,0,0,1000
80,0,0,1000
81,0,0,1000
82,0,0,1000
83,0,0,1000
84,0,0,1000
85,0,0,1000
86,0,0,1000
87,0,0,1000
88,0,0,1000
89,0,0,1000
90,0,0,1000
91,0,0,1000
92,0,0,1000
93,0,0,1000
94,0,0,1000
95,0,0,1000
96,0,0,1000
97,0,0,1000
98,0,0,1000
99,0,0,1000
100,0,0,1000
