Day,Susceptible,Infected,Recovered
1,999,1,0
2,997,3,0
3,988,11,1
4,970,28,2
5,952,44,4
6,937,52,11
7,921,63,16
8,902,78,20
9,876,98,26
10,840,124,36
11,793,165,42
12,746,203,51
13,690,241,69
14,637,268,95
15,596,286,118
16,558,303,139
17,507,322,171
18,454,337,209
19,403,351,246
20,344,361,295
21,294,367,339
22,258,363,379
23,210,380,410
24,175,376,449
25,153,362,485
26,124,356,520
27,104,337,559
28,88,326,586
29,78,311,611
30,63,294,643
31,54,272,674
32,46,255,699
33,33,244,723
34,23,233,744
35,18,211,771
36,14,194,792
37,11,174,815
38,11,160,829
39,10,140,850
40,9,132,859
41,9,117,874
42,8,108,884
43,8,101,891
44,8,94,898
45,8,80,912
46,8,72,920
47,8,65,927
48,8,58,934
49,8,54,938
50,8,51,941
51,8,47,945
52,8,44,948
53,8,42,950
54,8,38,954
55,8,35,957
56,8,31,961
57,8,28,964
58,8,26,966
59,8,25,967
60,8,22,970
61,8,21,971
62,8,19,973
63,8,16,976
64,8,15,977
65,8,14,978
66,8,10,982
67,8,9,983
68,8,7,985
69,8,7,985
70,8,7,985
71,8,7,985
72,8,7,985
73,8,7,985
74,8,6,986
75,8,6,986
76,8,6,986
77,8,6,986
78,8,5,987
79,8,5,987
80,8,5,987
81,8,4,988
82,8,4,988
83,8,3,989
84,8,2,990
85,8,2,990
86,8,2,990
87,8,1,991
88,8,1,991
89,8,1,991
90,8,1,991
91,8,1,991
92,8,1,991
93,8,1,991
94,8,1,991
95,8,0,992
96,8,0,992
97,8,0,992
98,8,0,992
99,8,0,992
100,8,0,992
