Day,Susceptible,Infected,Recovered
1,9999,1,0
2,9998,2,0
3,9998,1,1
4,9998,1,1
5,9998,1,1
6,9998,1,1
7,9997,2,1
8,9997,2,1
9,9996,2,2
10,9995,3,2
11,9994,4,2
12,9993,5,2
13,9990,8,2
14,9990,7,3
15,9988,7,5
16,9987,8,5
17,9986,8,6
18,9985,8,7
19,9985,7,8
20,9985,5,10
21,9985,3,12
22,9984,4,12
23,9984,4,12
24,9984,2,14
25,9984,2,14
26,9983,3,14
27,9982,4,14
28,9981,4,15
29,9980,5,15
30,9979,6,15
31,9978,7,15
32,9974,10,16
33,9971,11,18
34,9969,12,19
35,9965,16,19
36,9963,17,20
37,9961,18,21
38,9957,21,22
39,9953,24,23
40,9951,22,27
41,9945,25,30
42,9944,23,33
43,9937,27,36
44,9931,29,40
45,9925,34,41
46,9919,35,46
47,9911,41,48
48,9906,36,58
49,9904,33,63
50,9898,37,65
51,9895,35,70
52,9890,39,71
53,9884,41,75
54,9878,40,82
55,9867,44,89
56,9862,46,92
57,9858,45,97
58,9852,47,101
59,9843,55,102
60,9836,55,109
61,9833,56,111
62,9827,57,116
63,9823,54,123
64,9820,53,127
65,9816,50,134
66,9810,50,140
67,9805,52,143
68,9799,52,149
69,9792,56,152
70,9784,58,158
71,9778,58,164
72,9767,64,169
73,9759,68,173
74,9753,65,182
75,9746,67,187
76,9741,60,199
77,9736,58,206
78,9727,58,215
79,9718,57,225
80,9713,56,231
81,9703,61,236
82,9694,62,244
83,9687,63,250
84,9677,64,259
85,9668,67,265
86,9655,77,268
87,9649,74,277
88,9638,79,283
89,9628,80,292
90,9622,79,299
91,9613,81,306
92,9604,83,313
93,9594,85,321
94,9584,87,329
95,9580,82,338
96,9576,77,347
97,9570,76,354
98,9560,80,360
99,9551,84,365
100,9543,86,371
