Day,Susceptible,Infected,Recovered
1,999,1,0
2,999,1,0
3,998,2,0
4,998,2,0
5,998,2,0
6,997,3,0
7,997,2,1
8,997,1,2
9,997,1,2
10,997,1,2
11,997,1,2
12,996,1,3
13,996,1,3
14,996,1,3
15,996,1,3
16,996,1,3
17,996,1,3
18,996,1,3
19,996,1,3
20,996,1,3
21,995,2,3
22,995,2,3
23,995,2,3
24,995,2,3
25,995,1,4
26,995,1,4
27,995,1,4
28,994,2,4
29,993,3,4
30,993,2,5
31,993,2,5
32,992,3,5
33,992,3,5
34,992,3,5
35,992,3,5
36,992,3,5
37,992,2,6
38,990,4,6
39,989,5,6
40,989,5,6
41,989,4,7
42,989,3,8
43,989,3,8
44,988,4,8
45,987,4,9
46,986,5,9
47,985,4,11
48,985,3,12
49,985,3,12
50,985,3,12
51,985,2,13
52,984,3,13
53,984,2,14
54,984,2,14
55,984,2,14
56,984,2,14
57,983,2,15
58,983,2,15
59,981,3,16
60,980,3,17
61,980,3,17
62,979,3,18
63,979,3,18
64,978,3,19
65,977,3,20
66,977,2,21
67,976,2,22
68,976,1,23
69,975,2,23
70,973,3,24
71,973,3,24
72,971,5,24
73,971,5,24
74,971,5,24
75,970,3,27
76,969,4,27
77,969,4,27
78,968,5,27
79,966,5,29
80,964,6,30
81,963,7,30
82,963,5,32
83,963,3,34
84,963,3,34
85,963,3,34
86,962,4,34
87,961,5,34
88,960,6,34
89,960,6,34
90,959,6,35
91,957,7,36
92,957,7,36
93,957,7,36
94,957,7,36
95,954,10,36
96,953,11,36
97,951,12,37
98,951,12,37
99,951,12,37
100,950,12,38
