Day,Susceptible,Infected,Recovered
1,999,1,0
2,988,12,0
3,924,75,1
4,811,176,13
5,699,270,31
6,612,328,60
7,545,356,99
8,490,377,133
9,432,397,171
10,379,412,209
11,334,406,260
12,292,415,293
13,251,418,331
14,223,406,371
15,195,399,406
16,174,386,440
17,151,358,491
18,131,343,526
19,119,312,569
20,105,280,615
21,95,264,641
22,81,257,662
23,72,238,690
24,65,218,717
25,59,205,736
26,56,187,757
27,49,172,779
28,39,165,796
29,33,153,814
30,30,139,831
31,24,132,844
32,22,119,859
33,19,112,869
34,17,103,880
35,13,99,888
36,11,87,902
37,11,80,909
38,9,72,919
39,9,68,923
40,7,63,930
41,5,61,934
42,4,57,939
43,4,49,947
44,4,46,950
45,4,36,960
46,4,32,964
47,3,29,968
48,2,25,973
49,2,22,976
50,2,22,976
51,2,20,978
52,2,19,979
53,2,15,983
54,2,13,985
55,2,11,987
56,2,10,988
57,2,9,989
58,2,8,990
59,2,6,992
60,2,6,992
61,2,6,992
62,2,6,992
63,2,5,993
64,2,5,993
65,2,3,995
66,2,3,995
67,2,3,995
68,2,3,995
69,2,3,995
70,2,3,995
71,2,3,995
72,2,2,996
73,2,1,997
74,2,0,998
75,2,0,998
76,2,0,998
77,2,0,998
78,2,0,998
79,2,0,998
80,2,0,998
81,2,0,998
82,2,0,998
83,2,0,998
84,2,0,998
85,2,0,998
86,2,0,998
87,2,0,998
88,2,0,998
89,2,0,998
90,2,0,998
91,2,0,998
92,2,0,998
93,2,0,998
94,2,0,998
95,2,0,998
96,2,0,998
97,2,0,998
98,2,0,998
99,2,0,998
100,2,0,998
