Day,Susceptible,Infected,Recovered
1,999,1,0
2,987,13,0
3,952,45,3
4,876,116,8
5,761,220,19
6,676,280,44
7,601,325,74
8,541,348,111
9,472,378,150
10,402,410,188
11,356,417,227
12,312,419,269
13,263,406,331
14,235,399,366
15,209,386,405
16,178,377,445
17,157,358,485
18,129,348,523
19,112,329,559
20,101,314,585
21,91,297,612
22,77,285,638
23,65,275,660
24,60,254,686
25,52,235,713
26,46,220,734
27,41,198,761
28,33,183,784
29,30,169,801
30,26,157,817
31,24,146,830
32,22,136,842
33,19,122,859
34,16,109,875
35,15,100,885
36,14,89,897
37,12,81,907
38,11,73,916
39,10,66,924
40,10,62,928
41,10,57,933
42,10,52,938
43,10,49,941
44,10,49,941
45,10,46,944
46,10,41,949
47,9,36,955
48,9,29,962
49,8,29,963
50,8,27,965
51,8,24,968
52,8,21,971
53,8,20,972
54,8,17,975
55,8,16,976
56,8,15,977
57,8,15,977
58,8,15,977
59,8,12,980
60,8,11,981
61,8,11,981
62,8,9,983
63,8,8,984
64,8,8,984
65,8,7,985
66,8,6,986
67,8,6,986
68,8,5,987
69,8,5,987
70,8,5,987
71,8,5,987
72,8,5,987
73,8,5,987
74,8,4,988
75,8,2,990
76,8,2,990
77,8,2,990
78,8,1,991
79,8,0,992
80,8,0,992
81,8,0,992
82,8,0,992
83,8,0,992
84,8,0,992
85,8,0,992
86,8,0,992
87,8,0,992
88,8,0,992
89,8,0,992
90,8,0,992
91,8,0,992
92,8,0,992
93,8,0,992
94,8,0,992
95,8,0,992
96,8,0,992
97,8,0,992
98,8,0,992
99,8,0,992
100,8,0,992
