Day,Susceptible,Infected,Recovered
1,999,1,0
2,949,51,0
3,815,181,4
4,703,267,30
5,613,326,61
6,534,372,94
7,476,395,129
8,407,418,175
9,355,429,216
10,316,428,256
11,287,421,292
12,260,403,337
13,235,385,380
14,204,385,411
15,191,360,449
16,171,350,479
17,140,347,513
18,125,327,548
19,108,309,583
20,96,289,615
21,88,262,650
22,75,249,676
23,68,231,701
24,53,230,717
25,47,215,738
26,45,184,771
27,39,168,793
28,38,152,810
29,36,138,826
30,33,131,836
31,27,132,841
32,22,127,851
33,20,114,866
34,19,105,876
35,15,94,891
36,14,90,896
37,14,83,903
38,12,78,910
39,11,70,919
40,11,61,928
41,11,58,931
42,10,52,938
43,7,46,947
44,6,42,952
45,5,36,959
46,5,29,966
47,5,27,968
48,5,25,970
49,4,24,972
50,3,24,973
51,3,18,979
52,3,14,983
53,3,12,985
54,3,12,985
55,3,12,985
56,3,10,987
57,3,9,988
58,3,7,990
59,3,4,993
60,3,4,993
61,3,3,994
62,3,3,994
63,3,3,994
64,3,3,994
65,2,4,994
66,2,4,994
67,1,5,994
68,1,4,995
69,1,4,995
70,1,4,995
71,1,4,995
72,1,3,996
73,0,4,996
74,0,3,997
75,0,2,998
76,0,2,998
77,0,1,999
78,0,1,999
79,0,1,999
80,0,0,1000
81,0,0,1000
82,0,0,1000
83,0,0,1000
84,0,0,1000
85,0,0,1000
86,0,0,1000
87,0,0,1000
88,0,0,1000
89,0,0,1000
90,0,0,1000
91,0,0,1000
92,0,0,1000
93,0,0,1000
94,0,0,1000
95,0,0,1000
96,0,0,1000
97,0,0,1000
98,0,0,1000
99,0,0,1000
100,0,0,1000
