Day,Susceptible,Infected,Recovered
1,999,1,0
2,975,25,0
3,886,114,0
4,777,217,6
5,691,293,16
6,622,332,46
7,543,372,85
8,467,414,119
9,402,443,155
10,372,433,195
11,328,439,233
12,298,423,279
13,262,407,331
14,227,399,374
15,196,391,413
16,168,380,452
17,147,368,485
18,129,356,515
19,110,338,552
20,99,321,580
21,87,297,616
22,78,281,641
23,70,262,668
24,62,237,701
25,55,220,725
26,49,206,745
27,47,188,765
28,44,176,780
29,38,165,797
30,33,156,811
31,30,143,827
32,23,136,841
33,19,131,850
34,15,125,860
35,13,118,869
36,11,111,878
37,11,99,890
38,10,92,898
39,9,78,913
40,8,75,917
41,7,72,921
42,6,62,932
43,6,58,936
44,4,57,939
45,3,53,944
46,2,49,949
47,2,48,950
48,2,43,955
49,2,38,960
50,1,35,964
51,1,32,967
52,1,30,969
53,1,28,971
54,1,24,975
55,1,22,977
56,0,22,978
57,0,19,981
58,0,19,981
59,0,15,985
60,0,14,986
61,0,13,987
62,0,11,989
63,0,10,990
64,0,10,990
65,0,8,992
66,0,7,993
67,0,6,994
68,0,6,994
69,0,5,995
70,0,5,995
71,0,4,996
72,0,4,996
73,0,4,996
74,0,4,996
75,0,4,996
76,0,4,996
77,0,4,996
78,0,4,996
79,0,4,996
80,0,3,997
81,0,3,997
82,0,2,998
83,0,2,998
84,0,2,998
85,0,2,998
86,0,2,998
87,0,2,998
88,0,2,998
89,0,2,998
90,0,1,999
91,0,1,999
92,0,1,999
93,0,1,999
94,0,1,999
95,0,1,999
96,0,1,999
97,0,1,999
98,0,1,999
99,0,1,999
100,0,1,999
