Day,Susceptible,Infected,Recovered
1,2399,1,0
2,2399,1,0
3,2399,1,0
4,2399,1,0
5,2398,2,0
6,2398,2,0
7,2398,2,0
8,2397,2,1
9,2396,3,1
10,2395,4,1
11,2395,4,1
12,2394,4,2
13,2394,4,2
14,2393,4,3
15,2393,4,3
16,2392,5,3
17,2391,6,3
18,2389,7,4
19,2387,6,7
20,2387,6,7
21,2387,6,7
22,2385,8,7
23,2384,9,7
24,2383,10,7
25,2382,9,9
26,2380,10,10
27,2380,10,10
28,2380,10,10
29,2379,10,11
30,2377,11,12
31,2377,9,14
32,2377,9,14
33,2377,8,15
34,2377,8,15
35,2376,8,16
36,2375,8,17
37,2373,10,17
38,2371,12,17
39,2371,10,19
40,2371,9,20
41,2371,8,21
42,2371,8,21
43,2371,8,21
44,2371,7,22
45,2370,7,23
46,2370,7,23
47,2369,5,26
48,2369,4,27
49,2367,6,27
50,2367,4,29
51,2366,5,29
52,2365,5,30
53,2364,6,30
54,2364,6,30
55,2364,6,30
56,2363,6,31
57,2363,4,33
58,2363,3,34
59,2363,3,34
60,2363,3,34
61,2362,3,35
62,2362,3,35
63,2362,3,35
64,2362,3,35
65,2362,3,35
66,2362,2,36
67,2361,3,36
68,2361,3,36
69,2361,2,37
70,2360,3,37
71,2359,4,37
72,2358,4,38
73,2357,4,39
74,2354,7,39
75,2352,8,40
76,2352,8,40
77,2350,10,40
78,2347,12,41
79,2343,15,42
80,2343,14,43
81,2342,15,43
82,2342,14,44
83,2341,13,46
84,2340,13,47
85,2339,12,49
86,2337,12,51
87,2336,12,52
88,2334,13,53
89,2332,15,53
90,2326,20,54
91,2323,22,55
92,2323,20,57
93,2321,19,60
94,2320,20,60
95,2315,21,64
96,2313,21,66
97,2312,19,69
98,2310,19,71
99,2307,20,73
100,2307,20,73
