Day,Susceptible,Infected,Recovered
1,999,1,0
2,984,16,0
3,971,29,0
4,940,55,5
5,914,74,12
6,876,101,23
7,846,120,34
8,810,145,45
9,774,166,60
10,739,183,78
11,708,200,92
12,669,225,106
13,640,233,127
14,599,251,150
15,572,251,177
16,543,252,205
17,516,249,235
18,495,250,255
19,470,248,282
20,451,247,302
21,419,255,326
22,403,248,349
23,387,243,370
24,374,231,395
25,358,228,414
26,341,219,440
27,332,205,463
28,316,198,486
29,300,192,508
30,280,193,527
31,265,192,543
32,256,183,561
33,242,178,580
34,241,158,601
35,231,153,616
36,226,145,629
37,216,146,638
38,215,137,648
39,211,125,664
40,207,118,675
41,202,113,685
42,201,102,697
43,199,88,713
44,198,81,721
45,195,76,729
46,193,72,735
47,192,64,744
48,192,61,747
49,191,59,750
50,190,51,759
51,190,44,766
52,189,42,769
53,188,39,773
54,188,31,781
55,187,27,786
56,187,25,788
57,187,21,792
58,187,19,794
59,187,17,796
60,187,15,798
61,186,14,800
62,185,15,800
63,185,14,801
64,185,13,802
65,185,13,802
66,185,13,802
67,185,11,804
68,185,10,805
69,185,8,807
70,185,7,808
71,185,7,808
72,185,7,808
73,184,8,808
74,184,8,808
75,184,8,808
76,184,8,808
77,184,7,809
78,184,7,809
79,184,7,809
80,184,7,809
81,184,7,809
82,184,6,810
83,184,6,810
84,184,4,812
85,184,4,812
86,184,3,813
87,184,3,813
88,184,3,813
89,184,3,813
90,184,2,814
91,184,0,816
92,184,0,816
93,184,0,816
94,184,0,816
95,184,0,816
96,184,0,816
97,184,0,816
98,184,0,816
99,184,0,816
100,184,0,816
